Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-15 18:02:19,2022-02-15 18:02:20,0.738s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:20,2022-02-15 18:02:20,0.000s,PASSED
"listIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:20,2022-02-15 18:02:20,0.015s,PASSED
"containsString(response2, nameofListVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:20,2022-02-15 18:02:20,0.000s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Create card"", [""urlCard"":url_Card, ""listId"":listIdVar, ""cardName"":cardNameVar]))",,,,2022-02-15 18:02:20,2022-02-15 18:02:21,0.739s,PASSED
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:21,2022-02-15 18:02:21,0.001s,PASSED
"idCardVar = getElementPropertyValue(response3, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:21,2022-02-15 18:02:21,0.000s,PASSED
"containsString(response3, cardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:21,2022-02-15 18:02:21,0.016s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Comment on Card/Add a comment to a Card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""comment"":commentVar]))",,,,2022-02-15 18:02:21,2022-02-15 18:02:21,0.737s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:21,2022-02-15 18:02:21,0.016s,PASSED
"containsString(response4, commentVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:21,2022-02-15 18:02:21,0.000s,PASSED
Data = response4.getResponseText(),,,,2022-02-15 18:02:21,2022-02-15 18:02:21,0.000s,PASSED
"print(""
	"" + Data + ""
	"")",,,,2022-02-15 18:02:21,2022-02-15 18:02:21,0.000s,PASSED
"idActionVar = getElementPropertyValue(response4, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:21,2022-02-15 18:02:21,0.015s,PASSED
"response5 = sendRequest(findTestObject(""Trello/Comment on Card/Update a comment on a card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""commentUpdate"":commentUpdateVar, ""idAction"":idActionVar]))",,,,2022-02-15 18:02:21,2022-02-15 18:02:22,0.766s,PASSED
"verifyResponseStatusCode(response5, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:22,2022-02-15 18:02:22,0.000s,PASSED
"containsString(response5, commentUpdateVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:22,2022-02-15 18:02:22,0.000s,PASSED
"response6 = sendRequest(findTestObject(""Trello/Comment on Card/Delete a comment on a card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""idAction"":idActionVar]))",,,,2022-02-15 18:02:22,2022-02-15 18:02:23,0.729s,PASSED
"verifyResponseStatusCode(response6, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:23,2022-02-15 18:02:23,0.007s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC11 Add a label on Card - Get the data from Label- Remove the added Label,,,,2022-02-15 18:02:23,2022-02-15 18:02:28,4.821s,PASSED
"labelColorVar = ""yellow""",,,,2022-02-15 18:02:23,2022-02-15 18:02:23,0.000s,PASSED
"deleteParticularLabelRespMsg = ""{""_value"":null}""",,,,2022-02-15 18:02:23,2022-02-15 18:02:23,0.000s,PASSED
"boardNameVar = ""Add Label to a Card """,,,,2022-02-15 18:02:23,2022-02-15 18:02:23,0.000s,PASSED
"nameofListVar = ""List1""",,,,2022-02-15 18:02:23,2022-02-15 18:02:23,0.000s,PASSED
"cardNameVar = ""My card""",,,,2022-02-15 18:02:23,2022-02-15 18:02:23,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-15 18:02:23,2022-02-15 18:02:24,0.844s,PASSED
