Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:59,2022-02-09 19:22:59,0.000s,PASSED
card_response = response3.getResponseText(),,,,2022-02-09 19:22:59,2022-02-09 19:22:59,0.000s,PASSED
"println(""
	"" + card_response + ""
	"")",,,,2022-02-09 19:22:59,2022-02-09 19:22:59,0.000s,PASSED
"cardIdVar = getElementPropertyValue(response3, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:59,2022-02-09 19:22:59,0.015s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Label on Card/Create a Label on Card"", [""urlCard"":url_Card, ""cardId"":cardIdVar, ""labelColor"":labelColorVar]))",,,,2022-02-09 19:22:59,2022-02-09 19:23:00,0.789s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:00,2022-02-09 19:23:00,0.001s,PASSED
"containsString(response4, labelColorVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:00,2022-02-09 19:23:00,0.000s,PASSED
"labelIdVar = getElementPropertyValue(response4, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:00,2022-02-09 19:23:00,0.016s,PASSED
"response5 = sendRequest(findTestObject(""Trello/Label on Card/Get a data from Label on Card"", [""urlCard"":url_Card, ""cardId"":cardIdVar, ""labelId"":labelIdVar]))",,,,2022-02-09 19:23:00,2022-02-09 19:23:01,0.657s,PASSED
"verifyResponseStatusCode(response5, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:01,2022-02-09 19:23:01,0.000s,PASSED
"response6 = sendRequest(findTestObject(""Trello/Label on Card/Delete a Label on Card"", [""urlCard"":url_Card, ""labelId"":labelIdVar, ""cardId"":cardIdVar, ""labelColor"":labelColorVar]))",,,,2022-02-09 19:23:01,2022-02-09 19:23:01,0.819s,PASSED
"verifyResponseStatusCode(response6, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:01,2022-02-09 19:23:01,0.001s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC12 Create a Label on Board - Update the Label - Delete the Label,,,,2022-02-09 19:23:01,2022-02-09 19:23:05,3.496s,PASSED
"labelColorVar = ""yellow""",,,,2022-02-09 19:23:02,2022-02-09 19:23:02,0.000s,PASSED
"deleteParticularLabelRespMsg = ""{""_value"":null}""",,,,2022-02-09 19:23:02,2022-02-09 19:23:02,0.000s,PASSED
"boardNameVar = ""Create a Label on a Board """,,,,2022-02-09 19:23:02,2022-02-09 19:23:02,0.000s,PASSED
"labelNameVar = ""This is label""",,,,2022-02-09 19:23:02,2022-02-09 19:23:02,0.000s,PASSED
"updatedNameVar = ""Updated name label""",,,,2022-02-09 19:23:02,2022-02-09 19:23:02,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-09 19:23:02,2022-02-09 19:23:02,0.768s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:02,2022-02-09 19:23:02,0.000s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:02,2022-02-09 19:23:02,0.000s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:02,2022-02-09 19:23:02,0.008s,PASSED
"response2 = sendRequest(findTestObject(""Trello/Label on Board/Create a Label on Board"", [""urlBoard"":url_Board, ""idBoard"":idBoardVar, ""name"":labelNameVar, ""color"":labelColorVar]))",,,,2022-02-09 19:23:02,2022-02-09 19:23:03,0.783s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:03,2022-02-09 19:23:03,0.015s,PASSED
"containsString(response2, labelColorVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:03,2022-02-09 19:23:03,0.000s,PASSED
"labelIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:03,2022-02-09 19:23:03,0.016s,PASSED
